rank,song,artists,views,video_id,weeks_on_chart
1,Shaky,"Sanju Rathod, G-Spark",29776791,sUf2PtEZris,9
2,Laal Pari,"Honey Singh, Simar Kaur",25470614,KGn-erOG-Bs,10
3,RANU BOMBAI KI RANU,"Ramu Rathod, Singer Prabha, Kalyan Keys",16642956,2voCBpYfFI4,24
4,हरनवे धई धई दबाता,"Samar Singh, Neha Raj",15383880,cssY0jENfoc,3
5,Aaj Ki Raat,"Madhubanti Bagchi, Divya Kumar, Sachin-Jigar",15229647,roz9sXFkTuE,51
6,Dil Pe Chalai Churiya,Sonu Nigam,14145318,EW4PcyuFMfo,3
7,Pal Pal,"Afusic, AliSoomroMusic",13525277,8of5w7RgcTc,13
8,Sapphire,Ed Sheeran,12943048,JgDNFQ2RaLQ,5
9,Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav),"Masoom Sharma, Sheenam Katholic, Mr Boota",11560215,ZZ86YrRjIOs,19
10,Raanjhan,Parampara Thakur,11517070,lBvbNxiVmZA,37
11,Jhol,"Maanu, Annural Khalid",11076075,-2RAq5o5pwc,22
12,Muththa Mazhai,"A. R. Rahman, Dhee, Siva Ananth",10685337,YbCF6OqTWug,6
13,Ramayana (The Introduction Theme),"Hans Zimmer, A. R. Rahman, Kumar Vishwas",10102906,gzUu-FJ7s-Y,1
14,Khatole 2,Masoom Sharma,9482915,obgMGM6I2rE,22
15,शाम है धुआं धुआं,Narendra Raj,8398092,F99w7jiePac,3
16,दिलवा ले जा रुमाल मे,Pawan Singh,8131325,icoy62wfJMU,13
17,Raat Ke Shikari,Masoom Sharma,8029058,xMSuYh4ElPs,4
18,Uyi Amma,"Amit Trivedi, Madhubanti Bagchi, Amitabh Bhattacharya",7815125,FZLadzn5i6Q,26
19,Minnalvala,"Sid Sriram, Sithara Krishnakumar",7107998,izbydia9jz4,8
20,Golden Sparrow,"Sublahshini, G.V. Prakash Kumar, Dhannush, Arivu",7002583,g0RPoEt9xdU,38
21,Jugraafiya,"Udit Narayan, Shreya Ghoshal",6987756,yyUodifWNxU,5
22,Supreme,Shubh,6762304,AX1zRInC_TA,12
23,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Irshad Kamil",6717160,BSJa1UytM8w,2
24,King VS Queen,"Tuntun Yadav, Goldi Yadav",6634346,ppVd0vo3nII,11
25,रही बईठल केरा के थम प,Awadhesh Premi Yadav,6409487,KFuzItVTEG8,9
26,सड़िया करिया,"Ankush Raja, Karishma Kakkar",6232112,fgLhVyrg5d8,30
27,Qatal,"Guru Randhawa, Sanjoy, Gill Machhrai",6056080,c-FKlE3_kHo,11
28,Peelings,"Kandukuri Shankar Babu, Laxmi Dasa",6053245,8RAd-_Qj_ac,32
29,मरद हS माथा के दरद,Shivani Singh,5891648,VygV7LqbUSU,51
30,Aayi Nai,"Pawan Singh, Simran Choudhary, Divya Kumar, Sachin-Jigar",5886682,nFgsBxw-zWQ,49
31,Jaat Intro,"Ajay Bhagta, Manisha Sharma",5709065,ApnrYpdBrco,6
32,Bangle Bangari,Anthony Daasan,5702902,ckbWXG97W10,3
33,Sanam Teri Kasam,"Ankit Tiwari, Palak Muchhal, Himesh Reshammiya",5580975,kKljXVVkgS4,23
34,Premalo,"Anurag Kulkarni, Sameera Bharadwaj, Vijay Bulganin, Purna Chari",5553294,5m9sYqJNoWk,19
35,Finding Her,"kushagra, Bharath, Saaheal",5464287,3Cp2QTBZAFQ,14
36,Kanimaa,"Santhosh Narayanan, The Indian Choral Ensemble",5432905,5CEXL8kfGL4,16
37,Tere Bina,"A. R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",5431367,9JDSGhhiOwI,10
